dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,PPI,BP,DISO,FEAO,FEDI
ABRASIVE CLEANING PADS,2013,FR HYPERS + SUPERS,HOMECARE,,0,0,0,0,0,0,183636,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2013,FR HYPERS + SUPERS,HOMECARE,0-1,456,104,110,472,-146959.8311,379271.3952,472,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2013,FR HYPERS + SUPERS,HOMECARE,<0,5,27,5,31,-38081.52609,13927.92147,31,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2013,FR HYPERS + SUPERS,HOMECARE,>1,387,199,107,439,214887.0321,269568.4138,439,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2014,FR HYPERS + SUPERS,HOMECARE,,0,0,0,0,0,0,189131,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2014,FR HYPERS + SUPERS,HOMECARE,0-1,513,103,133,516,-239783.5979,686167.458,516,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2014,FR HYPERS + SUPERS,HOMECARE,<0,17,16,4,29,-52550.97875,29758.76671,29,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2014,FR HYPERS + SUPERS,HOMECARE,>1,355,145,109,379,114146.6118,339312.0245,379,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2015,FR HYPERS + SUPERS,HOMECARE,,0,0,0,0,0,0,190825,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2015,FR HYPERS + SUPERS,HOMECARE,0-1,360,111,132,371,-348900.6567,837280.2962,371,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2015,FR HYPERS + SUPERS,HOMECARE,<0,23,29,15,42,-152404.8346,77657.29994,42,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ABRASIVE CLEANING PADS,2015,FR HYPERS + SUPERS,HOMECARE,>1,324,179,109,363,130820.5084,352359.3249,363,-1.510734385,-0.853991293,0.441221077,0.320948447,0.938083239
ACNE REMEDIES,2013,FR HYPERS + SUPERS,HBA,,0,0,0,0,0,0,137079,-1.118502561,-0.477708494,0.465602621,0.358532464,0.619754013
