dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
ABRASIVE CLEANING PADS,2013,Hyper+Super Markets,HOMECARE,,33043361.72,31974248.12,343698.9402,343698.9402,0,0,0,0,0,0,583460,8320,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2013,Hyper+Super Markets,HOMECARE,0-1,3048207.534,2269771.938,1381953.579,472021.5485,19026,1091,2198,19192,-201899.7077,909932.0305,19192,7684,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2013,Hyper+Super Markets,HOMECARE,<0,25125.967,38420.037,810.9991237,-2627.485807,168,29,16,195,-7379.713642,3438.484931,195,164,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2013,Hyper+Super Markets,HOMECARE,>1,3501020.98,1237580.907,1922708.022,886389.7691,13950,1640,2096,14090,293266.4006,1036318.253,14090,6218,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2014,Hyper+Super Markets,HOMECARE,,31541472.54,30307045.17,388750.7057,388750.7057,0,0,0,0,0,0,586613,8754,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2014,Hyper+Super Markets,HOMECARE,0-1,3149330.264,2384636.82,1375412.848,464836.492,19324,963,2048,19449,-213321.6179,910576.3559,19449,7588,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2014,Hyper+Super Markets,HOMECARE,<0,25457.072,40332.847,359.0421254,-2835.857085,175,29,15,209,-7448.684838,3194.89921,209,161,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2014,Hyper+Super Markets,HOMECARE,>1,3383813.102,1175168.97,1868607.194,862946.0798,15217,1865,2355,15379,288758.0058,1005661.114,15379,6732,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2015,Hyper+Super Markets,HOMECARE,,31773067.47,30448403.94,414823.8265,414823.8265,0,0,0,0,0,0,584273,9311,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2015,Hyper+Super Markets,HOMECARE,0-1,3282608.642,2566520.518,1338031.008,442456.6181,20725,1208,1958,20859,-231889.4624,895574.3896,20859,7804,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2015,Hyper+Super Markets,HOMECARE,<0,30075.438,43791.667,1673.282633,-2463.218647,175,33,20,213,-7831.32925,4136.50128,213,171,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ABRASIVE CLEANING PADS,2015,Hyper+Super Markets,HOMECARE,>1,3609263.127,1239560.931,2020418.805,931072.6963,15997,1975,2346,16145,307262.9357,1089346.109,16145,6752,-1.777741272,-0.978951175,0.584785695,0.392526438,0.29918854
ACNE REMEDIES,2013,Hyper+Super Markets,HBA,,2905890.976,2877646.239,11269.51969,11269.51969,0,0,0,0,0,0,144712,1275,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2013,Hyper+Super Markets,HBA,0-1,75427.606,64412.587,19714.44426,6338.618002,1103,53,49,1121,-3867.89926,13375.82626,1121,665,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2013,Hyper+Super Markets,HBA,<0,509.872,701.865,54.91112568,-30.55208182,16,0,0,16,-131.2913302,85.4632075,16,16,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2013,Hyper+Super Markets,HBA,>1,124696.748,63833.121,42031.13171,20697.49592,2039,89,72,2051,9712.60808,21333.63579,2051,1047,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2014,Hyper+Super Markets,HBA,,2883663.648,2862097.827,10054.87694,10054.87694,0,0,0,0,0,0,141670,1192,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2014,Hyper+Super Markets,HBA,0-1,50207.542,43325.253,13039.41271,4128.117963,1018,39,16,1026,-2719.117807,8911.294751,1026,603,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2014,Hyper+Super Markets,HBA,<0,334.526,434.565,46.36178186,-13.39021814,13,0,0,13,-79.83732721,59.752,13,13,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
