Store,Date,Units,Promo,Weekday
STORE1,1/8/2014,4,1,Wednesday
STORE1,1/9/2014,7,1,Thursday
STORE1,1/10/2014,5,1,Friday
STORE1,1/11/2014,3,1,Saturday
STORE1,1/12/2014,0,1,Sunday
STORE1,1/13/2014,0,0,Monday
STORE1,1/14/2014,0,0,Tuesday
STORE1,1/15/2014,0,0,Wednesday
STORE1,1/16/2014,0,0,Thursday
STORE1,1/17/2014,0,0,Friday
STORE1,1/18/2014,0,0,Saturday
STORE1,1/19/2014,0,0,Sunday
STORE1,1/20/2014,0,0,Monday
STORE1,1/21/2014,0,0,Tuesday
STORE1,1/22/2014,0,0,Wednesday
STORE1,1/23/2014,0,0,Thursday
STORE1,1/24/2014,0,0,Friday
STORE1,1/25/2014,0,0,Saturday
STORE1,1/26/2014,0,0,Sunday
STORE1,1/27/2014,0,0,Monday
STORE1,1/28/2014,0,1,Tuesday
STORE1,1/29/2014,14,1,Wednesday
STORE1,1/30/2014,10,1,Thursday
STORE1,1/31/2014,6,1,Friday
STORE1,2/1/2014,9,1,Saturday
STORE1,2/2/2014,0,1,Sunday
STORE1,2/3/2014,3,1,Monday
STORE1,2/4/2014,7,1,Tuesday
STORE1,2/5/2014,3,1,Wednesday
STORE1,2/6/2014,3,1,Thursday
STORE1,2/7/2014,8,1,Friday
STORE1,2/8/2014,17,1,Saturday
STORE1,2/9/2014,0,1,Sunday
STORE1,2/10/2014,3,1,Monday
STORE1,2/11/2014,12,1,Tuesday
STORE1,2/12/2014,11,1,Wednesday
STORE1,2/13/2014,7,1,Thursday
STORE1,2/14/2014,5,1,Friday
STORE1,2/15/2014,17,1,Saturday
STORE1,2/16/2014,0,1,Sunday
STORE1,2/17/2014,0,0,Monday
STORE1,2/18/2014,0,0,Tuesday
STORE1,2/19/2014,0,0,Wednesday
STORE1,2/20/2014,0,0,Thursday
STORE1,2/21/2014,2,0,Friday
STORE1,2/22/2014,0,0,Saturday
STORE1,2/23/2014,0,0,Sunday
STORE1,2/24/2014,0,0,Monday
STORE1,2/25/2014,0,0,Tuesday
STORE1,2/26/2014,0,0,Wednesday
STORE1,2/27/2014,0,0,Thursday
STORE1,2/28/2014,1,0,Friday
STORE1,3/1/2014,0,0,Saturday
STORE1,3/2/2014,0,0,Sunday
STORE1,3/3/2014,0,0,Monday
STORE1,3/4/2014,0,0,Tuesday
STORE1,3/5/2014,0,0,Wednesday
STORE1,3/6/2014,0,0,Thursday
STORE1,3/7/2014,2,0,Friday
STORE1,3/8/2014,0,0,Saturday
STORE1,3/9/2014,0,0,Sunday
STORE1,3/10/2014,0,0,Monday
STORE1,3/11/2014,1,0,Tuesday
STORE1,3/12/2014,0,0,Wednesday
STORE1,3/13/2014,0,0,Thursday
STORE1,3/14/2014,0,0,Friday
STORE1,3/15/2014,1,0,Saturday
STORE1,3/16/2014,0,0,Sunday
STORE1,3/17/2014,0,0,Monday
STORE1,3/18/2014,1,0,Tuesday
STORE1,3/19/2014,1,0,Wednesday
STORE1,3/20/2014,0,0,Thursday
STORE1,3/21/2014,0,0,Friday
STORE1,3/22/2014,0,0,Saturday
STORE1,3/23/2014,0,0,Sunday
STORE1,3/24/2014,0,1,Monday
STORE1,3/25/2014,12,1,Tuesday
STORE1,3/26/2014,4,1,Wednesday
STORE1,3/27/2014,3,1,Thursday
STORE1,3/28/2014,9,1,Friday
STORE1,3/29/2014,8,1,Saturday
STORE1,3/30/2014,0,1,Sunday
STORE1,3/31/2014,3,1,Monday
STORE1,4/1/2014,6,1,Tuesday
STORE1,4/2/2014,0,0,Wednesday
STORE1,4/3/2014,1,0,Thursday
STORE1,4/4/2014,0,0,Friday
STORE1,4/5/2014,0,0,Saturday
